"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Harry departs on the Knight Bus to the Leaky Cauldron in London .",-0.15,1," 27",0.5,0,0,0,0,0.5,0,0,-0.4925,-0.8825,-0.32
" Harry learns from the Daily Prophet , Sirius , the same convict and a follower of Tom , broke out of Azkaban , the first person to ever do so . Sirius was imprisoned for murdering thirteen people with a single curse in  , right after James , Harry and Lily 's murder . At the Leaky Cauldron , Harry meets the Minister for Magic , Cornelius , in person , though Harry has to pretend that Harry does n't know Harry since Harry and Ronald were technically breaking school rules during Harry and Ronald 's previous school year when Harry and Ronald saw Harry in Rubeus 's Hut .",-1.75,3," 28 29 30",0.225806451612903,0.0645161290322581,0.129032258064516,0.161290322580645,0,0.290322580645161,0.032258064516129,0.0967741935483871,0.19446,-0.84716,0.29541
" After explaining that Marge has been restored to normal and her memory modified , to Harry 's surprise , Fudge does n't take any action against Harry stating that accidental uses of magic do n't count as violations of the Decree for the Reasonable Restriction of Underage Sorcery .",0.1,1," 31",0.142857142857143,0.0714285714285714,0,0.285714285714286,0.0714285714285714,0.142857142857143,0.214285714285714,0.0714285714285714,0.55,-0.88729,0.35583
" Fudge books a room for Harry , where Harry will stay for the rest of the summer , but refuses to sign Harry 's Hogsmeade permission slip . Harry spends the rest of the holidays in Diagon Alley , purchasing Harry 's school things and making sure not to make any unnecessary purchases .",-0.425,2," 32 33",0.333333333333333,0,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0.98739,-1.08957,0.76478
" On the last day of the holidays , Harry meets up with Ronald , Hermione and the rest of Percy , Ronald , Arthur and William who are also staying at the Leaky Cauldron .",-0.75,1," 34",0.5,0,0,0,0,0.5,0,0,1.14889,-1.31222,0.62778
" When Hermione decides to spend Hermione 's birthday money on a magical pet , to Hermione purchases a cat named Crookshanks , who harasses Ronald 's pet rat Scabbers .",0.65,1," 35",0.0769230769230769,0.230769230769231,0.0769230769230769,0.0769230769230769,0.230769230769231,0,0.230769230769231,0.0769230769230769,1.09917,-0.24333,0.43833
" At some point during the night , Harry overhears a conversation between Ronald 's parents , Arthur and Molly . From what Ronald hears , Ronald learns that when Tom met his downfall , Sirius lost everything , and is now trying to kill Harry . Harry realises that Fudge let Harry off because Harry was relieved to find Harry alive . Harry is unconcerned about Sirius , doubting that the escapee could harm Harry at Hogwarts , with headmaster Albus around .",-0.625,4," 36 37 38 39",0.235294117647059,0.0588235294117647,0,0.176470588235294,0.0588235294117647,0.411764705882353,0,0.0588235294117647,0.44913,-0.84848,0.48217
" The next day , shortly before he boards the Hogwarts Express , Arthur tried to warn him about Sirius and makes him promise not to go looking for Sirius no matter what Arthur hears .",0,1," 40",0,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0.285714285714286,0.87727,-0.86318,0.97045
" Harry tells Harry that Harry already knows because Harry heard Mr and Mrs Weasley talking about it earlier . Harry is also confused and asks why Harry would go looking for somebody who wanted to kill Harry .",-0.625,2," 41 42",0.333333333333333,0,0,0.166666666666667,0,0.5,0,0,0.59472,-0.88875,0.53306
" On the train , Harry , Ronald and Hermione share a compartment with Remus , the new Defence Against the Dark Arts teacher .",0.95,1," 43",0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.285714285714286,0,0.285714285714286,1.41714,-1.08143,0.55
" After several hours , the train stops and a sinister , cloaked figure enters .",-1.15,1," 44",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,-0.00833,-0.89333,0.56
" It sucks the happiness out of Harry , who faints . The creature then approaches Harry , possibly to kiss him , until Remus drives it off with a spell . After Harry recovers , Remus hands Harry and the others some chocolate and explains that the creature was a Dementor , one of the Azkaban Guards , and that they were searching the train for Sirius . At Hogwarts , Draco taunts Harry over Harry 's reaction to the Dementor . After getting inside , Minerva calls Harry and Hermione to Minerva 's and takes Harry and Hermione to Minerva 's office .",-0.03,5," 45 46 47 48 49",0.208333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.125,0.208333333333333,0.0416666666666667,0.0833333333333333,0.802,-0.7588,0.5364
" Once there , Minerva reveals that Remus had informed Minerva 's by Owl Post of Harry 's adverse reaction to the Dementor and wants Harry looked at by Poppy to see if Harry 's ill . The matron confirms that Harry 's fine .",-0.325,2," 50 51",0.307692307692308,0,0.153846153846154,0.153846153846154,0,0.307692307692308,0,0.0769230769230769,0.52923,-1.17231,0.76154
" After Minerva 's business with Hermione is concluded , they return to the Great Hall to find that they missed the sorting ceremony .",0.6,1," 52",0,0,0,0,0.5,0,0.5,0,0.86,-1.56,0.59
" Albus announces the two changes in staffing during the year : Remus , and Rubeus , who has been made the Care of Magical Creatures teacher due to the retirement of Professor Kettleburn .",2.4,1," 53",0,0.2,0,0.1,0.2,0.1,0.1,0.3,1.23929,-1.17714,0.42857
" Albus also announces that Dementors are to be stationed around the school as a precaution against Sirius . Lessons start the next day . Harry , Ronald and Hermione head to the North Tower for their first Divination lesson .",0,3," 54 55 56",0.142857142857143,0.428571428571429,0,0,0,0.142857142857143,0,0.285714285714286,0.78393,-1.17143,0.70893
" They meet Sybill Trelawney and predict future events using tea leaves .",0,1," 57",0,1,0,0,0,0,0,0,0.95571,-0.78,0.44571
" Harry sees a black dog in Harry 's tea cup , which Trelawney identifies as the Grim , the omen of death . This worries Harry , as Harry remembers the black dog Harry saw when Harry ran away . In their next lesson , Minerva assures Harry that Trelawney has predicted the deaths of a number of students , none of whom have died . In their Care of Magical Creatures lesson , Rubeus teaches them about hippogriffs -LRB- horse/eagle creatures -RRB- .",-0.1125,4," 58 59 60 61",0.166666666666667,0.2,0.0666666666666667,0.1,0.0333333333333333,0.233333333333333,0.0666666666666667,0.133333333333333,0.5205,-0.74383,0.40983
" Although initially nervous , Harry successfully approaches and rides a grey hippogriff named Buckbeak . Later in the lesson , Draco , who had not been listening to Rubeus 's lecture , insults Buckbeak , causing it to slash his arm with its talons . He is taken to the hospital wing , and Rubeus fears that he will take the blame for letting Buckbeak attack Draco , even though Draco provoked it in the first place . Harry and Harry 's friends offer to help him clear Buckbeak .",-0.6875,4," 62 63 64 65",0.333333333333333,0.111111111111111,0.0555555555555556,0.222222222222222,0,0.166666666666667,0,0.111111111111111,0.12078,-0.65313,0.27438
" This makes Rubeus sober up and finally notice that Harry 's there . Rubeus angrily tells Harry off for leaving the castle after dark and escorts the trio back to Gryffindor Tower personally .",-0.35,2," 66 67",0.2,0.1,0.1,0,0.1,0.3,0.1,0.1,0.45591,-1.01818,0.485
" Later in the week , in Potions , Draco returns with a heavily bandaged arm .",0,1," 68",NA,NA,NA,NA,NA,NA,NA,NA,0.33167,-1.17,0.61333
" Although it is implied that Draco is exaggerating the seriousness of the injury , there is no way to prove it .",-0.8,1," 69",0.2,0,0,0.4,0,0.4,0,0,0.13889,-1.18,0.15667
" Harry learns that Sirius has been sighted near Hogwarts . During the lesson , Draco hints that Sirius may be connected to Harry 's past .",0.2,2," 70 71",0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0,0.166666666666667,1.105,-1.17,0.958
" In Defence against the Dark Arts , Remus teaches the third years about Boggarts , shape-shifters that take the shape of a person 's worst fear . The class then take on the Boggart , forcing it to assume a shape they find amusing . When it comes to Harry 's turn Harry is sure the Boggart will turn into a Dementor but Remus jumps in and repels the Boggart for Harry . Faced by Remus , the Boggart takes the shape of a bright glowing orb . Harry is disappointed that Remus does not let Harry fight the Boggart , thinking that Remus feels Harry is not up to the task .",-0.47,5," 72 73 74 75 76",0.384615384615385,0,0.0769230769230769,0.153846153846154,0.0769230769230769,0.307692307692308,0,0,0.55671,-0.96684,0.625
" In October , the Gryffindor Quidditch team practises hard for the upcoming Quidditch season , especially since this is their team captain Oliver Wood 's final year at Hogwarts .",0.15,1," 77",0,0,0,0,0,0,0,1,0.753,-1.252,0.605
" Oliver believes that despite the misfortune which occurred during the previous two years their team should be able to win the Quidditch Cup before he graduates .",-0.25,1," 78",0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.95,-1.3075,0.70333
" Third years are also visiting Hogsmeade on Hallowe'en , and only Harry is not allowed , because his uncle did not sign his permission form .",0.8,1," 79",0.5,0,0,0,0,0.5,0,0,0.82,-1.50545,0.71545
" Harry spends the day in Remus 's office , drinking tea with Harry . Remus tells Harry that Harry did not let Harry face the Boggart because Harry did not want the Boggart to become Tom .",0,2," 80 81",0.5,0,0,0,0,0.5,0,0,0.82636,-1.32545,0.80545
" Shortly afterwards , Severus appears with a mysterious potion for Remus .",-0.4,1," 82",0,0.5,0,0.25,0,0,0.25,0,0.65,-0.39667,0.02667
" Remus claims to simply have an illness that is aided by the potion .",-0.75,1," 83",0,0,0,0.5,0,0.5,0,0,-0.24944,-0.74778,0.00889
" A few hours later , Ronald and Hermione return .",0,1," 84",NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1.665,0.98
" They reach the portrait of Fat and see it slashed and that Fat is gone .",-1,1," 85",0,0,0.5,0,0,0.5,0,0,0.11625,-0.97875,0.315
" Peeves reveals that he saw her fleeing through another portrait after Sirius attacked her for not letting him into Gryffindor Tower . Albus , Percy and Argus seek her out .",-0.9,2," 86 87",0,1,0,0,0,0,0,0,0.12687,-0.77,0.66687
" Every student is moved in the Great Hall to sleep while teachers search the castle .",0.5,1," 88",NA,NA,NA,NA,NA,NA,NA,NA,1.38889,-1.25556,0.65333
" They fail to find any sign of Sirius , and Severus suggests that someone inside the castle helped Sirius gain entry .",0.8,1," 89",0,0.5,0,0,0.5,0,0,0,0.4775,-0.78625,1.07875
" Albus refutes this argument .",-1.2,1," 90",1,0,0,0,0,0,0,0,-1.505,-0.115,0.305
" Nobody talks about anything but Sirius for the next few days .",0,1," 91",NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,1.015
" The refuses to return to work until Sirius is caught .",-0.55,1," 92",NA,NA,NA,NA,NA,NA,NA,NA,0.248,-1.126,0.46
" Because of this , Albus is forced to replace her with Sir Cadogan the Mad Knight .",-0.4,1," 93",0.166666666666667,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0.166666666666667,-0.093,-0.68,0.194
" Nobody is happy about this both because Albus changes the password twice a day and because Albus 's for the most part annoying but there 's nothing they can do because none of the other pictures wanted the job because of what happened to Fat .",-0.5,1," 94",0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.706,-1.11533,0.658
" Meanwhile , because of the attack , an annoyed Harry gets place under surveillance : Teachers find excuses to go down the halls with him , Percy , acting on his mother 's orders , follows him everywhere like a guard dog .",-1.9,1," 95",0.181818181818182,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.46375,-0.735,0.33125
" Minerva decides to reveal the truth to Harry but Harry reveals he already knows Sirius 's after him . Minerva explains that 's why Minerva does n't want him practising Quidditch in the evenings but Harry states he 's got to train .",0.5,2," 96 97",0.4,0,0,0,0,0.4,0,0.2,1.17571,-1.255,0.94357
" Minerva agrees and decides to ask Madam Hooch to be present .",0.75,1," 98",0,0.25,0,0,0.25,0,0.25,0.25,0.97,-1.30571,0.85857
" Gryffindor 's first Quidditch match is coming up , but due to Draco 's injury , Slytherin can not play .",-0.75,1," 99",0.25,0.25,0,0.25,0,0.25,0,0,0.66,-1.03187,0.36063
" Gryffindor plays Hufflepuff instead .",0,1," 100",NA,NA,NA,NA,NA,NA,NA,NA,2.55,-1.19,1.29
" On the day before the match , Remus becomes ill and Severus teaches his classes for him .",-0.5,1," 101",0.25,0,0.25,0.25,0,0.25,0,0,1.285,-1.405,0.743
" Oddly , he ignores Remus 's syllabus and instead gives a lesson on werewolves and assigns the class to write an essay on werewolves .",-0.8,1," 102",0,0.5,0,0,0,0,0,0.5,0.102,-0.893,0.277
" During the match , it is raining badly and Harry sees a large black dog resembling the Grim in the topmost empty row of seats in the Quidditch stadium . Dementors enter the match causing Harry to faint and fall from Harry 's broomstick .",-1.525,2," 103 104",0.307692307692308,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.461538461538462,0,0,0.34763,-1.19974,0.21921
" Harry realises that the screaming Harry had been hearing during Harry 's Dementor-induced fainting spells is Harry 's mother in her last moments . Albus saves Harry , but Albus 's Nimbus  broomstick flies into the Whomping Willow and is destroyed .",-0.475,2," 105 106",0.222222222222222,0.0555555555555556,0.0555555555555556,0.222222222222222,0.0555555555555556,0.277777777777778,0.0555555555555556,0.0555555555555556,0.83467,-0.91933,0.642
" Hufflepuff win the match shortly afterwards .",0.5,1," 107",0,1,0,0,0,0,0,0,1.4625,-0.6825,1.8925
" After the match , Harry wakes up in the Hospital Wing and learns what happened , including that Oliver Wood has declined Hufflepuff captain Cedric Diggory 's offer for a rematch .",0.1,1," 108",0.2,0,0,0.2,0,0.4,0,0.2,0.62577,-1.13115,0.63423
" Alarmed by the adverse effects the Dementors have on him , Poppy insists that Harry stay in the hospital wing for the rest of the weekend .",-1.25,1," 109",0.222222222222222,0,0.111111111111111,0.222222222222222,0,0.333333333333333,0,0.111111111111111,0.416,-0.648,0.691
" The following week , Remus is back teaching class and states that the class does n't have to write the essay Severus assigned for them , though Hermione has finished Hermione .",0,1," 110",NA,NA,NA,NA,NA,NA,NA,NA,0.66133,-1.34867,0.568
" After class , Harry goes to Remus wondering why the Dementors affect Harry so much .",0,1," 111",0.5,0,0,0,0,0.5,0,0,1.095,-0.68,0.85
" Remus explains that Dementors are fear itself and they pull forth the horrors from a person 's past , which is why just before Harry faints , Harry hears Harry 's mother screaming before she dies and why the Dementors affect Harry worse than anyone else . Harry asks Remus if Harry can give Harry private lessons on the spell to drive off Dementors in case another one arrives at a Quidditch match .",-1.9,2," 112 113",0.210526315789474,0.0526315789473684,0.0526315789473684,0.263157894736842,0.0526315789473684,0.315789473684211,0,0.0526315789473684,0.4136,-0.7556,0.4592
" Remus says he will , but after the Christmas holidays , citing his frequent illness .",-0.75,1," 114",0,0,0,0.5,0,0.5,0,0,0.60714,-0.52571,0.87
" Hufflepuff is defeated by Ravenclaw in their next Quidditch match , which gives the Gryffindor team a chance in the running for the Quidditch Cup . Harry , who uses an old school broom in training sessions , is busy looking to obtain a new broomstick for himself so Gryffindor can stand a chance in their remaining matches .",0.15,2," 115 116",0.142857142857143,0,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.6152,-1.1644,0.4742
" During the last weekend before the holidays , while the eligible students visit Hogsmeade , Harry is yet again not able to go .",1.2,1," 117",0.5,0,0,0,0,0.5,0,0,1.62,-0.7,1.07333
" To bring some Christmas cheer to Harry reveal Harry know secret passages in and out of Hogwarts .",0.75,1," 118",0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,1.43429,-0.65857,0.94286
" Harry give Harry the Marauder 's Map as a Christmas present and instruct him on how to use it .",0.65,1," 119",0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,1.625,-0.38667,0.92167
" It shows Hogwarts ' secret passages , corridors , classrooms , offices , common rooms , etc. , as well as every person 's location within the castle and the grounds .",0.8,1," 120",0,0,0,0,0,0,0,1,0.62,-1.28182,0.66182
" Harry uses the Marauder 's Map to sneak into Hogsmeade . He then meets Ronald and Hermione in Honeydukes , where they were discussing what kind of sweets to get Harry .",0.25,2," 121 122",0.272727272727273,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,1.12444,-1.16778,0.93
" They visit Broomstick , a pub run by Madam Rosmerta .",0.4,1," 123",NA,NA,NA,NA,NA,NA,NA,NA,0.73,-0.998,0.315
" When Cornelius , Minerva , Filius and Rubeus arrive , Harry hides underneath their table to avoid being seen .",-0.5,1," 124",0.25,0.25,0,0.25,0,0.25,0,0,0.55833,-1.205,0.64
" The trio overhears a conversation between the group and Madam Rosmerta , in which they discuss how Sirius is a close childhood friend of James , and that he is Harry 's godfather . The group goes on to talk about James , Harry and Lily learned how Tom had marked James , Harry and Lily for death by Albus , who had been tipped off by a spy . Albus had advised James , Harry and Lily to go into hiding using the Fidelius Charm , a concealment charm so powerful it can only be broken if the Secret Keeper , the person the spell is bound to , reveals it to the person the witch or wizard does n't want to be found by . James insisted on using Sirius despite Albus offering to be his family 's Secret Keeper due to fearing that a friend of the Potters ' had turned traitor and joined Tom as a spy because Tom trusted Sirius beyond all Tom 's other friends .",0.5,4," 125 126 127 128",0.195652173913043,0.0869565217391304,0.0869565217391304,0.173913043478261,0.108695652173913,0.130434782608696,0.0434782608695652,0.173913043478261,0.71051,-1.05225,0.47181
" One week later , Sirius sold out James , Harry and Lily to Tom , who met Tom 's downfall in Harry . Ths forced Sirius to run for it . Peter , another of James 's friends , confronted Sirius for the betrayal and he and twelve Muggles were killed by Sirius with a single curse . Sirius was taken to Azkaban afterwards . It 's also revealed that Sirius is n't affected by the Dementors at all . After they leave , Ronald and Hermione stare at a devastated Harry . Harry is depressed both about the truth about Sirius and that no one bothered to tell Harry before .",-0.728571428571429,7," 129 130 131 132 133 134 135",0.272727272727273,0,0.0909090909090909,0.181818181818182,0,0.363636363636364,0.0454545454545455,0.0454545454545455,0.07742,-0.87855,0.28016
" Harry is also continuing to have nightmares about Dementors and Harry 's mother screaming . During the start of the holidays , Ronald and Hermione try to console Harry but Harry chooses to go to Rubeus 's house to ask Harry about Sirius despite Ronald and Hermione 's protests . When the trio arrives at his house , they find him distraught about Buckbeak 's upcoming hearing before the Committee for the Disposal of Dangerous Creatures , and Harry decides it is better not to bring Sirius up .",-0.6,3," 136 137 138",0.210526315789474,0.105263157894737,0.0526315789473684,0.157894736842105,0.0526315789473684,0.315789473684211,0,0.105263157894737,0.60018,-0.69054,0.43482
" Rubeus reveals that Rubeus had a horrible experience with the Dementors during Rubeus 's brief time in Azkaban .",-0.75,1," 139",0.25,0.25,0.25,0.25,0,0,0,0,0.44917,-0.99333,0.825
" Rubeus ca n't set Buckbeak free without the risk of being sent back there .",-0.25,1," 140",0,0.5,0,0.5,0,0,0,0,0.87643,-1.08143,0.48429
" The trio then decides to help Rubeus prepare Rubeus 's defence for Buckbeak 's case .",0.1,1," 141",0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0.794,-1.307,1.133
" For Christmas , among his other presents , Harry receives the best model Broomstick ever released : the Firebolt .",0.9,1," 142",0.5,0,0,0,0,0.5,0,0,1.54143,-0.67571,1.28286
" Hermione is not happy when Hermione learns that it came without a note , and is driven out of Harry and Ronald 's dormitory after Crookshanks attacks Scabbers again . During Christmas dinner , Hermione reports the mystery gift to Minerva , who sends it away to have it tested for tampering . Both Hermione and Minerva suspect Sirius might have sent the broomstick and that it could be jinxed .",0.0666666666666667,3," 143 144 145",0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0.57375,-0.695,0.35542
" Harry ceases speaking with Hermione , even though Harry knew she had good intentions with reporting the Firebolt .",1,1," 146",0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.76375,-1.3275,0.63
" Ronald is also no longer on speaking terms with Hermione because Crookshanks has been attacking Scabbers non-stop .",-0.5,1," 147",0.2,0,0.2,0.2,0,0.2,0.2,0,0.28333,-0.79667,0.25
" Meanwhile , Harry starts Harry 's lessons with Remus . Remus tells Harry that the spell to drive off Dementors is called the Patronus Charm , instructs Harry in how to cast one , and lets Harry practise on a Boggart .",0.375,2," 148 149",0.4,0.2,0,0,0,0.4,0,0,1.06167,-1.23167,0.82667
" Harry fails to produce a Patronus at first . This , however , is to be expected ; the Patronus Charm is well beyond O.W.L. standard .",0.525,2," 150 151",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.86889,-0.9,0.62778
" During Harry learns that Remus was a friend of Harry 's father James back during their days at Hogwarts , and also knew Sirius as well .",1.6,1," 152",0.2,0,0,0,0.2,0.2,0,0.4,1.37714,-1.33571,0.79857
" In January , Slytherin beats Ravenclaw in their Quidditch match .",0,1," 153",NA,NA,NA,NA,NA,NA,NA,NA,0.1675,-0.7275,0.7575
" Gryffindor 's chances of getting the Quidditch Cup are good , as long as they do n't lose in their own match against Ravenclaw .",0.75,1," 154",0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.82188,-1.29688,0.56063
" By February , Harry becomes quite good at producing a Patronus after a few lessons , but does n't master it entirely . At the end of a lesson , Remus explains the concept of a Dementor 's Kiss and reveals that it will be Sirius 's punishment , as an article in the Daily Prophet confirmed that the Ministry gave the Dementors permission to use the Kiss on Sirius when they find Harry .",2.025,2," 155 156",0.136363636363636,0.227272727272727,0.0454545454545455,0.0454545454545455,0.136363636363636,0.0909090909090909,0.0909090909090909,0.227272727272727,0.8236,-1.0456,0.7884
" While thinking about the horror of the punishment , Harry runs into Minerva on Harry 's way back to Gryffindor Tower .",-1.5,1," 157",0.3,0,0.2,0.2,0,0.2,0.1,0,-0.035,-0.74143,0.00571
" Minerva gives Harry back the Firebolt , which has been proven not to be jinxed , and suggests that Harry practise with it before the match .",0.5,1," 158",0.25,0.25,0,0,0,0.25,0,0.25,0.75611,-1.38722,0.485
" Harry meets up with Ronald and they decide to go make up with Hermione .",0,1," 159",0.5,0,0,0,0,0.5,0,0,1.195,-1.165,0.93
" Outside Gryffindor Tower , they bump into Neville who 's in trouble because Harry lost a list . After the pair let Harry in , Neville tells Harry and Ronald that Harry made a list of the passwords for Gryffindor Tower because Sir Cadogan is still changing Harry and Ronald twice a day but somehow Harry and Ronald got lost .",-0.875,2," 160 161",0.285714285714286,0,0,0,0,0.571428571428571,0,0.142857142857143,0.24421,-1.14632,0.40947
