Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"As Boa slithers away , Harry thinks that Harry hears Boa speak back to Harry .","['Boa', 'Harry', 'Harry', 'Boa', 'Harry']","['Boa:slithers', 'Harry:thinks', 'Harry:hears', 'Boa:speak', 'Harry:speak']",[],[],0.0,"[(('thinks', 'VBZ'), 'advcl', ('slithers', 'VBZ')), (('slithers', 'VBZ'), 'mark', ('As', 'IN')), (('slithers', 'VBZ'), 'nsubj', ('Boa', 'NNP')), (('slithers', 'VBZ'), 'compound:prt', ('away', 'RP')), (('thinks', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('thinks', 'VBZ'), 'ccomp', ('hears', 'VBZ')), (('hears', 'VBZ'), 'mark', ('that', 'IN')), (('hears', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('hears', 'VBZ'), 'ccomp', ('speak', 'VB')), (('speak', 'VB'), 'nsubj', ('Boa', 'NNP')), (('speak', 'VB'), 'compound:prt', ('back', 'RP')), (('speak', 'VB'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('to', 'TO'))]"
Vernon blames Harry for what happened and sends Harry to Harry 's cupboard -- with no meals for a week as punishment .,"['Vernon', 'cupboard', 'meals', 'week', 'punishment']","['Vernon:blames', 'cupboard:sends', 'meals:blames', 'week:meals', 'punishment:week']","['Harry', 'Harry']","['Harry:blames', 'Harry:sends']",-0.7964,"[(('blames', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('blames', 'VBZ'), 'dobj', ('Harry', 'NNP')), (('blames', 'VBZ'), 'advcl', ('happened', 'VBD')), (('happened', 'VBD'), 'mark', ('for', 'IN')), (('happened', 'VBD'), 'nsubj', ('what', 'WP')), (('happened', 'VBD'), 'cc', ('and', 'CC')), (('happened', 'VBD'), 'conj', ('sends', 'VBZ')), (('sends', 'VBZ'), 'dobj', ('Harry', 'NNP')), (('sends', 'VBZ'), 'nmod', ('cupboard', 'NN')), (('cupboard', 'NN'), 'case', ('to', 'TO')), (('cupboard', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('blames', 'VBZ'), 'nmod', ('meals', 'NNS')), (('meals', 'NNS'), 'case', ('with', 'IN')), (('meals', 'NNS'), 'neg', ('no', 'DT')), (('meals', 'NNS'), 'nmod', ('week', 'NN')), (('week', 'NN'), 'case', ('for', 'IN')), (('week', 'NN'), 'det', ('a', 'DT')), (('week', 'NN'), 'nmod', ('punishment', 'NN')), (('punishment', 'NN'), 'case', ('as', 'IN'))]"
"Ever since Boa escaped from the zoo , and Vernon blamed it on Harry , Harry was locked in Harry 's cupboard for the longest time ever .","['Boa', 'zoo', 'Vernon', 'Harry', 'cupboard', 'time']","['Boa:escaped', 'zoo:escaped', 'Vernon:blamed', 'Harry:blamed', 'cupboard:locked', 'time:cupboard']","['it', 'Harry']","['it:blamed', 'Harry:locked']",-0.4767,"[(('locked', 'VBN'), 'advcl', ('escaped', 'VBD')), (('escaped', 'VBD'), 'advmod', ('Ever', 'RB')), (('escaped', 'VBD'), 'mark', ('since', 'IN')), (('escaped', 'VBD'), 'nsubj', ('Boa', 'NNP')), (('escaped', 'VBD'), 'nmod', ('zoo', 'NN')), (('zoo', 'NN'), 'case', ('from', 'IN')), (('zoo', 'NN'), 'det', ('the', 'DT')), (('escaped', 'VBD'), 'cc', ('and', 'CC')), (('escaped', 'VBD'), 'conj', ('blamed', 'VBD')), (('blamed', 'VBD'), 'nsubj', ('Vernon', 'NNP')), (('blamed', 'VBD'), 'dobj', ('it', 'PRP')), (('blamed', 'VBD'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('on', 'IN')), (('locked', 'VBN'), 'nsubjpass', ('Harry', 'NNP')), (('locked', 'VBN'), 'auxpass', ('was', 'VBD')), (('locked', 'VBN'), 'nmod', ('cupboard', 'NN')), (('cupboard', 'NN'), 'case', ('in', 'IN')), (('cupboard', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('cupboard', 'NN'), 'nmod', ('time', 'NN')), (('time', 'NN'), 'case', ('for', 'IN')), (('time', 'NN'), 'det', ('the', 'DT')), (('time', 'NN'), 'amod', ('longest', 'JJS')), (('locked', 'VBN'), 'advmod', ('ever', 'RB'))]"
"When Harry is finally allowed out , it 's the beginning of the summer holidays .","['it', 'holidays']","['it:beginning', 'holidays:beginning']",['Harry'],['Harry:allowed'],0.3818,"[(('beginning', 'NN'), 'advcl', ('allowed', 'VBN')), (('allowed', 'VBN'), 'advmod', ('When', 'WRB')), (('allowed', 'VBN'), 'nsubjpass', ('Harry', 'NNP')), (('allowed', 'VBN'), 'auxpass', ('is', 'VBZ')), (('allowed', 'VBN'), 'advmod', ('finally', 'RB')), (('allowed', 'VBN'), 'compound:prt', ('out', 'RP')), (('beginning', 'NN'), 'nsubj', ('it', 'PRP')), (('beginning', 'NN'), 'cop', (""'s"", 'VBZ')), (('beginning', 'NN'), 'det', ('the', 'DT')), (('beginning', 'NN'), 'nmod', ('holidays', 'NNS')), (('holidays', 'NNS'), 'case', ('of', 'IN')), (('holidays', 'NNS'), 'det', ('the', 'DT')), (('holidays', 'NNS'), 'compound', ('summer', 'NN'))]"
"Even though Harry is not at school , Harry still ca n't escape Dudley and Dudley 's gang , who regularly visit the house .","['Harry', 'Harry']","['Harry:school', 'Harry:escape']","['gang', 'house']","['gang:escape', 'house:visit']",-0.1326,"[(('escape', 'VB'), 'advcl', ('school', 'NN')), (('school', 'NN'), 'advmod', ('Even', 'RB')), (('school', 'NN'), 'mark', ('though', 'IN')), (('school', 'NN'), 'nsubj', ('Harry', 'NNP')), (('school', 'NN'), 'cop', ('is', 'VBZ')), (('school', 'NN'), 'neg', ('not', 'RB')), (('school', 'NN'), 'case', ('at', 'IN')), (('escape', 'VB'), 'nsubj', ('Harry', 'NNP')), (('escape', 'VB'), 'advmod', ('still', 'RB')), (('escape', 'VB'), 'aux', ('ca', 'MD')), (('escape', 'VB'), 'neg', (""n't"", 'RB')), (('escape', 'VB'), 'dobj', ('gang', 'NN')), (('gang', 'NN'), 'nmod:poss', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'cc', ('and', 'CC')), (('Dudley', 'NNP'), 'conj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', (""'s"", 'POS')), (('gang', 'NN'), 'acl:relcl', ('visit', 'VBP')), (('visit', 'VBP'), 'nsubj', ('who', 'WP')), (('visit', 'VBP'), 'advmod', ('regularly', 'RB')), (('visit', 'VBP'), 'dobj', ('house', 'NN')), (('house', 'NN'), 'det', ('the', 'DT'))]"
"To keep out of their way , Harry usually wanders around Privet Drive .","['way', 'Harry', 'Drive']","['way:keep', 'Harry:wanders', 'Drive:wanders']",[],[],0.0,"[(('wanders', 'VBZ'), 'advcl', ('keep', 'VB')), (('keep', 'VB'), 'mark', ('To', 'TO')), (('keep', 'VB'), 'compound:prt', ('out', 'RP')), (('keep', 'VB'), 'nmod', ('way', 'NN')), (('way', 'NN'), 'case', ('of', 'IN')), (('way', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('wanders', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('wanders', 'VBZ'), 'advmod', ('usually', 'RB')), (('wanders', 'VBZ'), 'nmod', ('Drive', 'NNP')), (('Drive', 'NNP'), 'case', ('around', 'IN')), (('Drive', 'NNP'), 'compound', ('Privet', 'NNP'))]"
"Harry is glad , however , that Dudley and Pier are going to Smeltings Academy , while Harry is going to attend Stonewall High .","['Harry', 'Dudley', 'Pier', 'Academy', 'Harry']","['Harry:glad', 'Dudley:going', 'Pier:going', 'Academy:going', 'Harry:going']",['High'],['High:attend'],0.4588,"[(('glad', 'JJ'), 'nsubj', ('Harry', 'NNP')), (('glad', 'JJ'), 'cop', ('is', 'VBZ')), (('glad', 'JJ'), 'advmod', ('however', 'RB')), (('glad', 'JJ'), 'ccomp', ('going', 'VBG')), (('going', 'VBG'), 'mark', ('that', 'IN')), (('going', 'VBG'), 'nsubj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'cc', ('and', 'CC')), (('Dudley', 'NNP'), 'conj', ('Pier', 'NNP')), (('going', 'VBG'), 'aux', ('are', 'VBP')), (('going', 'VBG'), 'nmod', ('Academy', 'NNP')), (('Academy', 'NNP'), 'case', ('to', 'TO')), (('Academy', 'NNP'), 'compound', ('Smeltings', 'NNP')), (('glad', 'JJ'), 'advcl', ('going', 'VBG')), (('going', 'VBG'), 'mark', ('while', 'IN')), (('going', 'VBG'), 'nsubj', ('Harry', 'NNP')), (('going', 'VBG'), 'aux', ('is', 'VBZ')), (('going', 'VBG'), 'xcomp', ('attend', 'VB')), (('attend', 'VB'), 'mark', ('to', 'TO')), (('attend', 'VB'), 'dobj', ('High', 'NNP')), (('High', 'NNP'), 'compound', ('Stonewall', 'NNP'))]"
"One day during the summer , Harry is told to get the post for Vernon .","['day', 'Vernon']","['day:told', 'Vernon:post']","['Harry', 'post']","['Harry:told', 'post:get']",0.0,"[(('told', 'VBN'), 'nmod', ('day', 'NN')), (('day', 'NN'), 'nummod', ('One', 'CD')), (('day', 'NN'), 'case', ('during', 'IN')), (('day', 'NN'), 'dep', ('summer', 'NN')), (('summer', 'NN'), 'det', ('the', 'DT')), (('told', 'VBN'), 'nsubjpass', ('Harry', 'NNP')), (('told', 'VBN'), 'auxpass', ('is', 'VBZ')), (('told', 'VBN'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('post', 'NN')), (('post', 'NN'), 'det', ('the', 'DT')), (('post', 'NN'), 'nmod', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', ('for', 'IN'))]"
"When Harry goes to get the mail , there are three letters : a postcard from Marjorie , who is on holiday in the Isle of Wight , a letter that looks like a bill , and a letter for Harry .","['Harry', 'letters', 'Marjorie', 'Isle', 'Wight', 'bill', 'Harry']","['Harry:goes', 'letters:are', 'Marjorie:postcard', 'Isle:holiday', 'Wight:Isle', 'bill:looks', 'Harry:letter']",['mail'],['mail:get'],0.6369,"[(('are', 'VBP'), 'advcl', ('goes', 'VBZ')), (('goes', 'VBZ'), 'advmod', ('When', 'WRB')), (('goes', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('goes', 'VBZ'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('mail', 'NN')), (('mail', 'NN'), 'det', ('the', 'DT')), (('are', 'VBP'), 'expl', ('there', 'EX')), (('are', 'VBP'), 'nsubj', ('letters', 'NNS')), (('letters', 'NNS'), 'nummod', ('three', 'CD')), (('letters', 'NNS'), 'dep', ('postcard', 'NN')), (('postcard', 'NN'), 'det', ('a', 'DT')), (('postcard', 'NN'), 'nmod', ('Marjorie', 'NNP')), (('Marjorie', 'NNP'), 'case', ('from', 'IN')), (('Marjorie', 'NNP'), 'acl:relcl', ('holiday', 'NN')), (('holiday', 'NN'), 'nsubj', ('who', 'WP')), (('holiday', 'NN'), 'cop', ('is', 'VBZ')), (('holiday', 'NN'), 'case', ('on', 'IN')), (('holiday', 'NN'), 'nmod', ('Isle', 'NNP')), (('Isle', 'NNP'), 'case', ('in', 'IN')), (('Isle', 'NNP'), 'det', ('the', 'DT')), (('Isle', 'NNP'), 'nmod', ('Wight', 'NNP')), (('Wight', 'NNP'), 'case', ('of', 'IN')), (('postcard', 'NN'), 'conj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('a', 'DT')), (('letter', 'NN'), 'acl:relcl', ('looks', 'VBZ')), (('looks', 'VBZ'), 'nsubj', ('that', 'WDT')), (('looks', 'VBZ'), 'nmod', ('bill', 'NN')), (('bill', 'NN'), 'case', ('like', 'IN')), (('bill', 'NN'), 'det', ('a', 'DT')), (('postcard', 'NN'), 'cc', ('and', 'CC')), (('postcard', 'NN'), 'conj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('a', 'DT')), (('letter', 'NN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN'))]"
"Harry takes the letter , studies the yellow parchment it is made of , then reads the address :","['letter', 'parchment']","['letter:takes', 'parchment:reads']","['it', 'address']","['it:made', 'address:reads']",0.0,"[(('takes', 'VBZ'), 'dep', ('Harry', 'NNP')), (('takes', 'VBZ'), 'nsubj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('the', 'DT')), (('letter', 'NN'), 'appos', ('studies', 'NNS')), (('studies', 'NNS'), 'acl:relcl', ('reads', 'VBZ')), (('reads', 'VBZ'), 'nsubj', ('parchment', 'NN')), (('parchment', 'NN'), 'det', ('the', 'DT')), (('parchment', 'NN'), 'amod', ('yellow', 'JJ')), (('parchment', 'NN'), 'acl:relcl', ('made', 'VBN')), (('made', 'VBN'), 'nsubjpass', ('it', 'PRP')), (('made', 'VBN'), 'auxpass', ('is', 'VBZ')), (('made', 'VBN'), 'nmod', ('of', 'IN')), (('made', 'VBN'), 'advmod', ('then', 'RB')), (('reads', 'VBZ'), 'dobj', ('address', 'NN')), (('address', 'NN'), 'det', ('the', 'DT'))]"
'' Mr H. Potter '',['H.'],"['H.:""']",[],[],0.0,"[(('""', 'VBZ'), 'nsubj', ('H.', 'NNP')), (('H.', 'NNP'), 'compound', ('Mr', 'NNP')), (('""', 'VBZ'), 'dep', ('Potter', 'VB'))]"
'' The Cupboard Under the Stairs '',[],[],[],[],0.0,"[(('""', 'VB'), 'xcomp', ('Cupboard', 'NN')), (('Cupboard', 'NN'), 'det', ('The', 'DT')), (('Cupboard', 'NN'), 'dep', ('Stairs', 'NNP')), (('Stairs', 'NNP'), 'case', ('Under', 'IN')), (('Stairs', 'NNP'), 'det', ('the', 'DT'))]"
"''  , Privet Drive ''",[],[],[],[],0.0,"[(('Drive', 'NNP'), 'discourse', ('""', 'UH')), (('Drive', 'NNP'), 'compound', ('Privet', 'NNP'))]"
'' Little Whinging '',[],[],[],[],0.0,"[(('""', 'NNP'), 'compound', ('""', 'NNP')), (('""', 'NNP'), 'compound', ('Little', 'NNP')), (('""', 'NNP'), 'compound', ('Whinging', 'NNP'))]"
'' Surrey '',[],[],['Surrey'],"['Surrey:""']",0.0,"[(('""', 'VB'), 'dobj', ('Surrey', 'NNP'))]"
Harry ca n't believe it .,['Harry'],['Harry:believe'],['it'],['it:believe'],0.0,"[(('believe', 'VB'), 'nsubj', ('Harry', 'NNP')), (('believe', 'VB'), 'aux', ('ca', 'MD')), (('believe', 'VB'), 'neg', (""n't"", 'RB')), (('believe', 'VB'), 'dobj', ('it', 'PRP'))]"
Harry has never had a letter in his life .,"['Harry', 'life']","['Harry:had', 'life:letter']",['letter'],['letter:had'],0.0,"[(('had', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('had', 'VBN'), 'aux', ('has', 'VBZ')), (('had', 'VBN'), 'neg', ('never', 'RB')), (('had', 'VBN'), 'dobj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('a', 'DT')), (('letter', 'NN'), 'nmod', ('life', 'NN')), (('life', 'NN'), 'case', ('in', 'IN')), (('life', 'NN'), 'nmod:poss', ('his', 'PRP$'))]"
"On the back there is a wax seal with a Lion , Snake , Badger and Eagle surrounding an H. ","['back', 'seal', 'Lion', 'Snake', 'Badger', 'Eagle']","['back:is', 'seal:is', 'Lion:seal', 'Snake:seal', 'Badger:seal', 'Eagle:seal']",['H.'],['H.:surrounding'],0.0,"[(('is', 'VBZ'), 'nmod', ('back', 'NN')), (('back', 'NN'), 'case', ('On', 'IN')), (('back', 'NN'), 'det', ('the', 'DT')), (('is', 'VBZ'), 'expl', ('there', 'EX')), (('is', 'VBZ'), 'nsubj', ('seal', 'NN')), (('seal', 'NN'), 'det', ('a', 'DT')), (('seal', 'NN'), 'compound', ('wax', 'NN')), (('seal', 'NN'), 'nmod', ('Lion', 'NNP')), (('Lion', 'NNP'), 'case', ('with', 'IN')), (('Lion', 'NNP'), 'det', ('a', 'DT')), (('Lion', 'NNP'), 'conj', ('Snake', 'NNP')), (('Lion', 'NNP'), 'conj', ('Badger', 'NNP')), (('Lion', 'NNP'), 'cc', ('and', 'CC')), (('Lion', 'NNP'), 'conj', ('Eagle', 'NNP')), (('Lion', 'NNP'), 'acl', ('surrounding', 'VBG')), (('surrounding', 'VBG'), 'dobj', ('H.', 'NNP')), (('H.', 'NNP'), 'det', ('an', 'DT'))]"
Harry returns to the kitchen and gives Vernon the other two letters as Harry sits down and starts to open the letter .,"['Harry', 'kitchen', 'Harry']","['Harry:returns', 'kitchen:returns', 'Harry:sits']","['letters', 'letter']","['letters:gives', 'letter:open']",0.0,"[(('returns', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('returns', 'VBZ'), 'nmod', ('kitchen', 'NN')), (('kitchen', 'NN'), 'case', ('to', 'TO')), (('kitchen', 'NN'), 'det', ('the', 'DT')), (('returns', 'VBZ'), 'cc', ('and', 'CC')), (('returns', 'VBZ'), 'conj', ('gives', 'VBZ')), (('gives', 'VBZ'), 'iobj', ('Vernon', 'NNP')), (('gives', 'VBZ'), 'dobj', ('letters', 'NNS')), (('letters', 'NNS'), 'det', ('the', 'DT')), (('letters', 'NNS'), 'amod', ('other', 'JJ')), (('letters', 'NNS'), 'nummod', ('two', 'CD')), (('letters', 'NNS'), 'acl:relcl', ('sits', 'VBZ')), (('sits', 'VBZ'), 'mark', ('as', 'IN')), (('sits', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('sits', 'VBZ'), 'compound:prt', ('down', 'RP')), (('sits', 'VBZ'), 'cc', ('and', 'CC')), (('sits', 'VBZ'), 'conj', ('starts', 'VBZ')), (('starts', 'VBZ'), 'xcomp', ('open', 'VB')), (('open', 'VB'), 'mark', ('to', 'TO')), (('open', 'VB'), 'dobj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('the', 'DT'))]"
Dudley soon sees that Harry has a letter and Vernon snatches it from Harry to read with Petunia .,"['Dudley', 'Harry', 'Vernon', 'Harry', 'Petunia']","['Dudley:sees', 'Harry:has', 'Vernon:snatches', 'Harry:snatches', 'Petunia:read']","['letter', 'it']","['letter:has', 'it:snatches']",0.0,"[(('sees', 'VBZ'), 'nsubj', ('Dudley', 'NNP')), (('sees', 'VBZ'), 'advmod', ('soon', 'RB')), (('sees', 'VBZ'), 'ccomp', ('has', 'VBZ')), (('has', 'VBZ'), 'mark', ('that', 'IN')), (('has', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('has', 'VBZ'), 'dobj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('a', 'DT')), (('has', 'VBZ'), 'cc', ('and', 'CC')), (('has', 'VBZ'), 'conj', ('snatches', 'VBD')), (('snatches', 'VBD'), 'nsubj', ('Vernon', 'NNP')), (('snatches', 'VBD'), 'dobj', ('it', 'PRP')), (('snatches', 'VBD'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('from', 'IN')), (('snatches', 'VBD'), 'advcl', ('read', 'VB')), (('read', 'VB'), 'mark', ('to', 'TO')), (('read', 'VB'), 'nmod', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'case', ('with', 'IN'))]"
"Vernon tells Dudley and Harry to get out of the kitchen , so Dudley and Harry both go and stand in the hall .","['Vernon', 'kitchen', 'Dudley', 'Harry', 'Harry', 'hall']","['Vernon:tells', 'kitchen:get', 'Dudley:go', 'Harry:go', 'Harry:go', 'hall:go']","['Dudley', 'Harry', 'Harry']","['Dudley:tells', 'Harry:tells', 'Harry:tells']",0.0,"[(('tells', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('tells', 'VBZ'), 'dobj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'cc', ('and', 'CC')), (('Dudley', 'NNP'), 'conj', ('Harry', 'NNP')), (('tells', 'VBZ'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'compound:prt', ('out', 'RP')), (('get', 'VB'), 'nmod', ('kitchen', 'NN')), (('kitchen', 'NN'), 'case', ('of', 'IN')), (('kitchen', 'NN'), 'det', ('the', 'DT')), (('tells', 'VBZ'), 'dep', ('so', 'IN')), (('tells', 'VBZ'), 'parataxis', ('go', 'VBP')), (('go', 'VBP'), 'nsubj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'cc', ('and', 'CC')), (('Dudley', 'NNP'), 'conj', ('Harry', 'NNP')), (('go', 'VBP'), 'advmod', ('both', 'DT')), (('go', 'VBP'), 'cc', ('and', 'CC')), (('go', 'VBP'), 'conj', ('stand', 'VBP')), (('go', 'VBP'), 'nmod', ('hall', 'NN')), (('hall', 'NN'), 'case', ('in', 'IN')), (('hall', 'NN'), 'det', ('the', 'DT'))]"
The two fight over who gets to look through the keyhole .,"['fight', 'keyhole']","['fight:gets', 'keyhole:look']",[],[],-0.3818,"[(('gets', 'VBZ'), 'nsubj', ('fight', 'NN')), (('fight', 'NN'), 'det', ('The', 'DT')), (('fight', 'NN'), 'nummod', ('two', 'CD')), (('fight', 'NN'), 'nmod', ('who', 'WP')), (('who', 'WP'), 'case', ('over', 'IN')), (('gets', 'VBZ'), 'xcomp', ('look', 'VB')), (('look', 'VB'), 'mark', ('to', 'TO')), (('look', 'VB'), 'nmod', ('keyhole', 'NN')), (('keyhole', 'NN'), 'case', ('through', 'IN')), (('keyhole', 'NN'), 'det', ('the', 'DT'))]"
"Dudley wins , so Harry resorts to looking through the gap between the floor and the door .","['Dudley', 'Harry', 'gap', 'floor', 'door']","['Dudley:wins', 'Harry:resorts', 'gap:looking', 'floor:gap', 'door:gap']",[],[],0.5719,"[(('wins', 'VBZ'), 'nsubj', ('Dudley', 'NNP')), (('wins', 'VBZ'), 'dep', ('so', 'IN')), (('wins', 'VBZ'), 'parataxis', ('resorts', 'VBZ')), (('resorts', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('resorts', 'VBZ'), 'advcl', ('looking', 'VBG')), (('looking', 'VBG'), 'mark', ('to', 'TO')), (('looking', 'VBG'), 'nmod', ('gap', 'NN')), (('gap', 'NN'), 'case', ('through', 'IN')), (('gap', 'NN'), 'det', ('the', 'DT')), (('gap', 'NN'), 'nmod', ('floor', 'NN')), (('floor', 'NN'), 'case', ('between', 'IN')), (('floor', 'NN'), 'det', ('the', 'DT')), (('floor', 'NN'), 'cc', ('and', 'CC')), (('floor', 'NN'), 'conj', ('door', 'NN')), (('door', 'NN'), 'det', ('the', 'DT'))]"
Petunia and Vernon are discussing the seal on the back .,"['Petunia', 'Vernon', 'back']","['Petunia:discussing', 'Vernon:discussing', 'back:seal']",['seal'],['seal:discussing'],0.0,"[(('discussing', 'VBG'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('discussing', 'VBG'), 'aux', ('are', 'VBP')), (('discussing', 'VBG'), 'dobj', ('seal', 'NN')), (('seal', 'NN'), 'det', ('the', 'DT')), (('seal', 'NN'), 'nmod', ('back', 'NN')), (('back', 'NN'), 'case', ('on', 'IN')), (('back', 'NN'), 'det', ('the', 'DT'))]"
Vernon says that Petunia and Vernon should just ignore it .,"['Vernon', 'Petunia', 'Vernon']","['Vernon:says', 'Petunia:ignore', 'Vernon:ignore']",['it'],['it:ignore'],-0.3612,"[(('says', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('says', 'VBZ'), 'ccomp', ('ignore', 'VB')), (('ignore', 'VB'), 'mark', ('that', 'IN')), (('ignore', 'VB'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('ignore', 'VB'), 'aux', ('should', 'MD')), (('ignore', 'VB'), 'advmod', ('just', 'RB')), (('ignore', 'VB'), 'dobj', ('it', 'PRP'))]"
"Later , when Harry is in Harry 's cupboard , Vernon comes in and says that Vernon has burned the letter , and that Petunia and Vernon are moving Harry up to Dudley 's second bedroom .","['Harry', 'Vernon', 'Vernon', 'Petunia', 'Vernon', 'bedroom']","['Harry:cupboard', 'Vernon:comes', 'Vernon:burned', 'Petunia:moving', 'Vernon:moving', 'bedroom:up']","['letter', 'Harry']","['letter:burned', 'Harry:moving']",0.0,"[(('comes', 'VBZ'), 'advmod', ('Later', 'RB')), (('comes', 'VBZ'), 'advcl', ('cupboard', 'NN')), (('cupboard', 'NN'), 'advmod', ('when', 'WRB')), (('cupboard', 'NN'), 'nsubj', ('Harry', 'NNP')), (('cupboard', 'NN'), 'cop', ('is', 'VBZ')), (('cupboard', 'NN'), 'case', ('in', 'IN')), (('cupboard', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('comes', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('comes', 'VBZ'), 'compound:prt', ('in', 'RP')), (('comes', 'VBZ'), 'cc', ('and', 'CC')), (('comes', 'VBZ'), 'conj', ('says', 'VBZ')), (('says', 'VBZ'), 'ccomp', ('burned', 'VBN')), (('burned', 'VBN'), 'mark', ('that', 'IN')), (('burned', 'VBN'), 'nsubj', ('Vernon', 'NNP')), (('burned', 'VBN'), 'aux', ('has', 'VBZ')), (('burned', 'VBN'), 'dobj', ('letter', 'NN')), (('letter', 'NN'), 'det', ('the', 'DT')), (('burned', 'VBN'), 'cc', ('and', 'CC')), (('burned', 'VBN'), 'conj', ('moving', 'VBG')), (('moving', 'VBG'), 'mark', ('that', 'IN')), (('moving', 'VBG'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('moving', 'VBG'), 'aux', ('are', 'VBP')), (('moving', 'VBG'), 'dobj', ('Harry', 'NNP')), (('moving', 'VBG'), 'advmod', ('up', 'RB')), (('up', 'RB'), 'nmod', ('bedroom', 'NN')), (('bedroom', 'NN'), 'case', ('to', 'TO')), (('bedroom', 'NN'), 'nmod:poss', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', (""'s"", 'POS')), (('bedroom', 'NN'), 'amod', ('second', 'JJ'))]"
"Slightly surprised , Harry moves all of Harry 's things up to the bedroom , wishing Harry had Harry 's letter .","['Harry', 'things', 'bedroom', 'Harry']","['Harry:moves', 'things:all', 'bedroom:up', 'Harry:had']",['letter'],['letter:had'],0.3626,"[(('had', 'VBD'), 'advmod', ('Slightly', 'RB')), (('Slightly', 'RB'), 'dep', ('surprised', 'VBG')), (('had', 'VBD'), 'parataxis', ('moves', 'VBZ')), (('moves', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('moves', 'VBZ'), 'dobj', ('all', 'DT')), (('all', 'DT'), 'nmod', ('things', 'NNS')), (('things', 'NNS'), 'case', ('of', 'IN')), (('things', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('moves', 'VBZ'), 'advmod', ('up', 'RB')), (('up', 'RB'), 'nmod', ('bedroom', 'NN')), (('bedroom', 'NN'), 'case', ('to', 'TO')), (('bedroom', 'NN'), 'det', ('the', 'DT')), (('had', 'VBD'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'compound', ('wishing', 'NNP')), (('had', 'VBD'), 'dobj', ('letter', 'NN')), (('letter', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS'))]"
